Date,SP500_Ret,SP500_HS,SP500_GARCH,BTC_Ret,BTC_HS,BTC_GARCH
5/22/2020,0.002350946,0.036597575,0.040517624,0.011039705,0.138843202,0.12918418
5/26/2020,0.012214285,0.036597575,0.035693439,-0.038580826,0.138843202,0.120893013
5/27/2020,0.014718447,0.036597575,0.034543613,0.038410971,0.138843202,0.119926963
5/28/2020,-0.002110139,0.036597575,0.03507873,0.036860715,0.138843202,0.117579158
5/29/2020,0.004800794,0.036597575,0.031143671,-0.009135579,0.138843202,0.114996751
6/1/2020,0.003744216,0.036597575,0.027918203,0.074310414,0.138843202,0.10807972
6/2/2020,0.008177307,0.036597575,0.024898927,-0.064749475,0.138843202,0.123097301
6/3/2020,0.013556671,0.036597575,0.023921913,0.013229695,0.138843202,0.132345525
6/4/2020,-0.003374389,0.036597575,0.026577526,0.014793539,0.138843202,0.123837556
6/5/2020,0.025874013,0.036597575,0.024164806,-0.013881075,0.138843202,0.116568834
6/8/2020,0.011969656,0.036597575,0.037606464,0.010902607,0.138843202,0.11023888
6/9/2020,-0.007829743,0.036597575,0.035946872,0.002474648,0.138843202,0.103998003
6/10/2020,-0.005327256,0.036597575,0.033539516,0.007565917,0.138843202,0.097466291
6/11/2020,-0.060752693,0.036597575,0.030657436,-0.057155719,0.138843202,0.091353178
6/12/2020,0.012976287,0.038294887,0.081018011,0.016919584,0.138843202,0.103698711
6/15/2020,0.008277861,0.038294887,0.072976889,-0.003184275,0.138843202,0.098779051
6/16/2020,0.018784853,0.038294887,0.064883032,0.009197339,0.138843202,0.093305939
6/17/2020,-0.003606796,0.038294887,0.061089179,-0.006075177,0.138843202,0.088398206
6/18/2020,0.000594043,0.038294887,0.054468223,-0.007242644,0.138843202,0.083718676
6/19/2020,-0.005665514,0.038294887,0.048496258,-0.013243316,0.138843202,0.079467189
6/22/2020,0.006474093,0.038294887,0.043936805,0.038099791,0.138843202,0.076511137
6/23/2020,0.004298169,0.038294887,0.039703478,-0.001977301,0.138843202,0.080502513
6/24/2020,-0.026195266,0.038294887,0.035340755,-0.033370923,0.138843202,0.076183213
6/25/2020,0.010899828,0.038294887,0.045384449,-0.005253081,0.138843202,0.07991738
6/26/2020,-0.024525204,0.038294887,0.042157943,-0.011059044,0.138843202,0.075946857
6/29/2020,0.014578888,0.038294887,0.048324866,0.003044229,0.138843202,0.073281302
6/30/2020,0.015292349,0.038294887,0.046062074,-0.005768118,0.138843202,0.069680119
7/1/2020,0.005009564,0.038294887,0.044507708,0.009836785,0.138843202,0.066853632
7/2/2020,0.00453097,0.038294887,0.039941001,-0.011433925,0.138843202,0.064242265
7/6/2020,0.015756931,0.038294887,0.035835432,0.027253541,0.138843202,0.062903304
7/7/2020,-0.010877478,0.038294887,0.036664602,-0.013227475,0.138843202,0.065093782
7/8/2020,0.007796986,0.038294887,0.035582533,0.018849585,0.138843202,0.063992255
7/9/2020,-0.005659591,0.038294887,0.032818711,-0.016076773,0.138843202,0.063331826
7/10/2020,0.01041181,0.038294887,0.030308022,9.05E-05,0.138843202,0.063155014
7/13/2020,-0.009406645,0.038294887,0.029422899,-0.003800086,0.138843202,0.0603038
7/14/2020,0.013317301,0.038294887,0.029029714,-4.33E-05,0.138843202,0.057888587
7/15/2020,0.009041057,0.038294887,0.029946366,-0.005465062,0.138843202,0.05545104
7/16/2020,-0.003411915,0.038294887,0.028500174,-0.006614939,0.138843202,0.053609011
7/17/2020,0.002844563,0.038294887,0.02599541,0.002096417,0.138843202,0.052124539
7/20/2020,0.008371797,0.038294887,0.023371028,0.001401958,0.138843202,0.049811701
7/21/2020,0.001677629,0.038294887,0.022800412,0.022726572,0.138843202,0.047619819
7/22/2020,0.005730631,0.038294887,0.020430814,0.015923467,0.138843202,0.050939983
7/23/2020,-0.012396378,0.038294887,0.019245839,0.005831453,0.138843202,0.051065713
7/24/2020,-0.00620964,0.038294887,0.023601501,-0.004621806,0.138843202,0.048709276
7/27/2020,0.007367929,0.038294887,0.02280414,0.141897499,0.138843202,0.047618304
7/28/2020,-0.006494435,0.038294887,0.021908579,-0.007126663,0.138843202,0.142094544
7/29/2020,0.012351783,0.038294887,0.021585617,0.017048707,0.138843202,0.132740301
7/30/2020,-0.003757302,0.038294887,0.023772038,0.000967607,0.138843202,0.124930183
7/31/2020,0.007641236,0.038294887,0.022044506,0.018922423,0.138843202,0.116969025
8/3/2020,0.007155363,0.038294887,0.021404929,-0.00683377,0.138843202,0.110996579
8/4/2020,0.003605423,0.038294887,0.020677913,-0.003603747,0.138843202,0.104736086
8/5/2020,0.00640916,0.038294887,0.018934722,0.047160038,0.138843202,0.098808117
8/6/2020,0.006407126,0.038294887,0.018341842,0.002784144,0.138843202,0.102479069
